DATE_HOUR,Impressions,Conversions
2021-10-08-20,6049,75
2021-10-08-21,16257,78
2021-10-08-22,15896,102
2021-10-08-23,18228,97
2021-10-09-00,35295,88
2021-10-09-01,12199,135
2021-10-09-02,16445,140
2021-10-09-03,13030,103
2021-10-09-04,16140,73
2021-10-09-05,16407,103
2021-10-09-06,11019,69
2021-10-09-07,9635,45
2021-10-09-08,8405,78
2021-10-09-09,7943,63
2021-10-09-10,5630,52
2021-10-09-11,6704,50
2021-10-09-12,7391,52
2021-10-09-13,13590,60
2021-10-09-14,42858,151
2021-10-09-15,11726,50
2021-10-09-16,8911,30
2021-10-09-17,16604,89
2021-10-09-18,24956,134
2021-10-09-19,13863,54
2021-10-09-20,15130,90
2021-10-09-21,12506,97
2021-10-09-22,7758,63
2021-10-09-23,10684,82
2021-10-10-01,35858,144
2021-10-10-02,37764,119
2021-10-10-03,28413,111
2021-10-10-04,34964,117
2021-10-10-05,11813,136
2021-10-10-06,9498,87
2021-10-10-07,4660,54
2021-10-10-08,8489,71
2021-10-10-09,3228,36
2021-10-10-10,2591,41
2021-10-10-11,6128,69
2021-10-10-12,5369,60
2021-10-10-13,15228,55
2021-10-10-14,12784,54
2021-10-10-15,6126,40
2021-10-10-16,7400,68
2021-10-10-17,13187,55
2021-10-10-18,3705,54
2021-10-10-19,9446,39
2021-10-10-20,6308,55
2021-10-10-21,11452,65
2021-10-10-22,6078,52
2021-10-10-23,4907,55
2021-10-11-00,22030,82
2021-10-11-01,30204,87
2021-10-11-03,18568,78
2021-10-11-04,13738,62
2021-10-11-05,4072,89
2021-10-11-06,6517,75
2021-10-11-07,5080,84
2021-10-11-08,5643,88
2021-10-11-09,3253,84
2021-10-11-10,2674,66
2021-10-11-11,67176,101
2021-10-11-12,47491,121
2021-10-11-13,16514,109
2021-10-11-14,21219,113
2021-10-11-15,4174,99
2021-10-11-16,12994,70
2021-10-11-17,8163,96
2021-10-11-18,3847,48
2021-10-11-19,14489,83
2021-10-11-20,14679,122
2021-10-11-21,36311,144
2021-10-11-22,37662,138
2021-10-11-23,30397,139
2021-10-12-00,32224,139
2021-10-12-01,36666,155
2021-10-12-02,21860,176
2021-10-12-03,111402,224
2021-10-12-04,16993,162
2021-10-12-05,27955,152
2021-10-12-06,10188,112
2021-10-12-07,16082,138
2021-10-12-08,9150,95
2021-10-12-09,2559,101
2021-10-12-10,3619,75
2021-10-12-11,6531,77
2021-10-12-12,7047,57
2021-10-12-13,8652,60
2021-10-12-14,6951,72
2021-10-12-15,12836,68
2021-10-12-16,10446,91
2021-10-12-17,14381,196
2021-10-12-18,41399,249
2021-10-12-19,37879,316
2021-10-12-20,11521,187
2021-10-12-21,35534,207
2021-10-12-22,24251,181
2021-10-12-23,74275,385
2021-10-13-00,60841,302
2021-10-13-01,82824,351
2021-10-13-02,18631,251
2021-10-13-03,48655,487
2021-10-13-04,57493,538
2021-10-13-05,29743,556
2021-10-13-06,48102,567
2021-10-13-07,63590,650
2021-10-13-08,29978,484
2021-10-13-09,13887,349
2021-10-13-10,15769,355
2021-10-13-11,23212,393
2021-10-13-12,12517,328
2021-10-13-13,77843,406
2021-10-13-14,56387,319
2021-10-13-15,25319,255
2021-10-13-16,49859,367
2021-10-13-17,22879,418
2021-10-13-18,13672,280
2021-10-13-19,57642,364
2021-10-13-20,18465,388
2021-10-13-21,55403,413
2021-10-13-22,24153,359
2021-10-13-23,85265,542
2021-10-14-00,151383,510
2021-10-14-01,29594,305
2021-10-14-02,29099,337
2021-10-14-03,140180,568
2021-10-14-04,48911,359
2021-10-14-05,30563,271
2021-10-14-06,22957,252
2021-10-14-07,24670,258
2021-10-14-08,17523,355
2021-10-14-09,15481,207
2021-10-14-10,8825,185
2021-10-14-11,8900,244
2021-10-14-12,12671,196
2021-10-14-13,6804,147
2021-10-14-14,27781,174
2021-10-14-15,14099,135
2021-10-14-16,34661,244
2021-10-14-17,44128,306
2021-10-14-18,8740,165
2021-10-14-19,45741,221
2021-10-14-20,45662,274
2021-10-14-21,36307,226
2021-10-14-22,14747,189
2021-10-14-23,107921,412
2021-10-15-00,17042,236
2021-10-15-01,52158,527
2021-10-15-02,25296,256
2021-10-15-03,88459,310
2021-10-15-04,45273,514
2021-10-15-05,29549,264
2021-10-15-06,36642,620
2021-10-15-07,47374,328
2021-10-15-08,37482,353
2021-10-15-09,2302,85
2021-10-15-10,7175,184
2021-10-15-11,11179,226
2021-10-15-12,3590,89
2021-10-15-13,8471,155
2021-10-15-14,4961,164
2021-10-15-15,5160,143
2021-10-15-16,50804,281
2021-10-15-17,10217,286
2021-10-15-18,16310,264
2021-10-15-19,95773,504
2021-10-15-20,12840,236
2021-10-15-21,67396,433
2021-10-15-22,26022,389
2021-10-15-23,20498,239
2021-10-16-00,37126,360
2021-10-16-01,74128,405
2021-10-16-02,52753,356
2021-10-16-03,32511,362
2021-10-16-04,93806,837
2021-10-16-05,77539,824
2021-10-16-06,31438,681
2021-10-16-07,52322,680
2021-10-16-08,51662,766
2021-10-16-09,36977,537
2021-10-16-10,15900,436
2021-10-16-11,40818,496
2021-10-16-12,21249,421
2021-10-16-13,20677,453
2021-10-16-14,21497,502
2021-10-16-15,34313,539
2021-10-16-16,21075,585
2021-10-16-17,45591,658
2021-10-16-18,58825,543
2021-10-16-19,24355,525
2021-10-16-20,41486,537
2021-10-16-21,26646,607
2021-10-16-22,92157,515
2021-10-16-23,77306,605
2021-10-17-00,72009,601
2021-10-17-01,32561,485
2021-10-17-02,72857,499
2021-10-17-03,33197,382
2021-10-17-04,68356,537
2021-10-17-05,60841,679
2021-10-17-06,26773,420
2021-10-17-07,39862,497
2021-10-17-08,44281,475
2021-10-17-09,12651,329
2021-10-17-10,17278,380
2021-10-17-11,18714,380
2021-10-17-12,40101,381
2021-10-17-13,24940,376
2021-10-17-14,40120,334
2021-10-17-15,31832,442
2021-10-17-16,53594,493
2021-10-17-17,42812,411
2021-10-17-18,26117,372
2021-10-17-19,78875,552
2021-10-17-20,37061,353
2021-10-17-21,72764,414
2021-10-17-22,27766,413
2021-10-17-23,26111,285
2021-10-18-00,27459,453
2021-10-18-01,21875,400
2021-10-18-02,27202,552
2021-10-18-03,40536,358
2021-10-18-04,20534,201
2021-10-18-05,9875,169
2021-10-18-06,28152,286
2021-10-18-08,16351,358
2021-10-18-09,4954,235
